company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",515610016,2020-03-30 21:00:28+00:00, ,1244731241338896392,en,0,0,0,0,Hootsuite Inc.,Regulatory Update: Texas provides updates to its relief steps toward COVID-19. Read more: https://t.co/zkL5EDKyIp #insurancecompliance #covid19 #regulatorycompliance #compliancemanagement #PCRM #RhoadsPCRM https://t.co/W4ChNUnhop
"""adobe""",219113854,2020-03-30 01:00:20+00:00, ,1244429217250439169,en,1,0,5,0,Twitter for iPad,"What #Covid_19  assistance is available for #creatives from the many #subscriptionservices they support? I use #Photoshelter #Squarespace #adobe #creativecloud but there are many covering all creative endeavours. Maybe #fstoppers #petapixel #dpreview 
#froknowsphoto have a list?"
"""adobe""",63859374,2020-03-29 16:01:07+00:00, ,1244293519524524034,en,1,0,1,0,Twitter for Android,@HoulihanTatum @longstaffeEdge @Adobe oh no that's not a helpful response based on context. Are you trying to get relief for COVID? I got mine when I told them I may have difficulty paying for my subscription. im on annual plan where I pay monthly (rather than the more expensive monthly plan without commitment)
"""adobe""",65396236,2020-03-27 18:34:13+00:00, ,1243607271461933056,en,0,0,0,0,Twitter Web App,We are standing against the imminent threat of #COVID19  to our #ALS community. Please help us keep the promise of safety and hope by supporting the ALS Emergency Relief Fund. https://t.co/82pxZ1E8Ip https://t.co/LgIYdceAQ3
"""adobe""",515610016,2020-03-26 21:00:33+00:00, ,1243281709384323072,en,0,0,0,0,Hootsuite Inc.,"Regulatory Announcement: Wisconsin issues Relief for Broker/Dealers and Investment Advisors, etc. Read more: https://t.co/UlSbURrlIU #insurancecompliance #covid19 #regulatorycompliance #compliancemanagement #PCRM #RhoadsPCRM https://t.co/rFgXbPTQpC"
"""adobe""",208147891,2020-03-26 16:20:50+00:00, ,1243211318947205120,en,1,0,0,0,Hootsuite Inc.,"Small Business Provisions in #Coronavirus Aid, Relief, and Economic Security (CARES) Act  https://t.co/OPKhjhaYRZ #MSSNY #COVID19"
"""adobe""",515610016,2020-03-26 15:01:08+00:00, ,1243191260472582146,en,0,0,0,0,Hootsuite Inc.,Regulatory Announcement: West Virginia allows relief for education provider and proctoring Read more: https://t.co/NfDFgMAh3g #insurancecompliance #covid19 #regulatorycompliance #compliancemanagement #PCRM #RhoadsPCRM https://t.co/0K5slo10ug
"""adobe""",11281702,2020-03-26 14:41:06+00:00, ,1243186218466246656,en,0,0,0,0,EveryoneSocial,Proud to work at Adobe during ordinary circumstances. Even prouder during these extraordinary circumstances. See how Adobe is providing financial assistance and resources to IRL and virtual communities. https://t.co/nyKDQRbRpO
"""adobe""",365968211,2020-03-26 07:52:12+00:00, ,1243083314455429120,en,0,0,0,0,Twitter for Android,"@Adobe 
Sir/Madam,
Do you know about Covid-19. I am the only earner in my family. I have not been using Creative cloud software for a long time.Nilesh sir told me, case number: ADB-10697325-R9N5 open and in case if you need any further assistance. your stock plan was cancelled."
