company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Campus Communities""",1066642308827934721,2020-05-12 08:58:58+00:00, ,1260132349410521088,en,0,0,0,0,Twitter for iPhone,"Many students are obligated to pay rent under leases that run until August, even as many have lost their jobs and most aren’t eligible to receive the government stimulus aid. https://t.co/j58lvjyfWv"
company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""American Eagle Outfitters""",730032660,2020-03-18 02:20:39+00:00, ,1240100776791298048,en,0,0,0,0,NonSell Twitter,"France pledges €45 billion for ‘war’ on coronavirus - https://t.co/B01kCUjN8g, 2020-03-18 00:37
PARIS: France on Tuesday pledged tens of billions of euros in financial aid and mooted th..."
"""American Eagle Outfitters""",404180103,2020-04-29 16:05:33+00:00, ,1255528657679978500,en,0,0,0,0,dlvr.it,American Eagle Outfitters Donating $1 Million and 1 Million Masks to COVID-19 Relief Efforts https://t.co/OpWhGsHmR4 https://t.co/5Tzyc9qFjv
"""American Eagle Outfitters""",138787283,2020-04-23 16:52:31+00:00, ,1253366152602025985,en,0,0,0,0,Twitter Web App,"Proud moment for clients @AEO and @Aerie, as they are donating $1 million to COVID-19 relief efforts and 1 million masks to healthcare workers. Article via @wwd. https://t.co/G28gLtWma1"
"""American Eagle Outfitters""",236620864,2020-04-22 15:26:10+00:00, ,1252982030620647431,en,0,0,0,0,LinkedIn,"AMERICAN EAGLE OUTFITTERS INC. and their brands American Eagle and Aerie are lending a hand in a big way towards COVID-19 relief efforts. They have donated 1 million face masks to public health workers, pledged $1 million towards helping with coronavirus…https://t.co/bXQ6seS0ev"
"""American Eagle Outfitters""",32668095,2020-04-18 21:32:26+00:00, ,1251624653107474435,en,7,0,0,7,Twitter Web Client,American Eagle Outfitters Donating $1 Million and 1 Million Masks to COVID-19 Relief Efforts https://t.co/scLLssGSF8 via @wwd
"""American Eagle Outfitters""",4706170815,2020-04-17 14:35:34+00:00, ,1251157358895460354,en,0,0,0,0,Twitter Web App,@AEO has joined the fight against #coronavirus! The company plans to donate $1M to COVID-19 relief efforts and allocate much-needed funding to the #AmericanFoodFund: https://t.co/y5ATD0zWVE https://t.co/qCmZlP5eXO
"""American Eagle Outfitters""",38108094,2020-04-17 00:55:44+00:00, ,1250951040209506309,en,0,0,0,0,Twitter for iPhone,American Eagle Outfitters Donating $1 Million and 1 Million Masks – WWD https://t.co/jib3sIHwws
"""American Eagle Outfitters""",168502847,2020-04-16 19:01:28+00:00, ,1250861886159179776,en,2,0,0,0,Twitter for iPhone,"As the world continues to fight COVID-19, more and more business are rushing in to help...
https://t.co/ySqwj1niSv"
"""American Eagle Outfitters""",1052303904782909440,2020-04-15 21:07:29+00:00, ,1250531214060064770,en,0,0,0,0,Twibble.io,"American Eagle and Aerie Pledge $1 Million to Covid-19 Relief On Wednesday, the American Eagle Outfitters Foundation announced it would donate $1 million to Covid-19 relief efforts and more than one million masks to ... https://t.co/psS5YzwFny via @MysmallStoreMN #fashion #style https://t.co/blqvpB5kld"
"""American Eagle Outfitters""",874188171357147136,2020-04-15 20:43:49+00:00, ,1250525257775153152,en,0,0,0,0,WordPress.com,American Eagle Outfitters Donating $1 Million and 1 Million Masks to COVID-19 Relief Efforts https://t.co/WFkMLL0ADc https://t.co/UvHo8FXFmf
"""American Eagle Outfitters""",19784831,2020-04-15 19:10:12+00:00, ,1250501698939953153,en,12,1,0,3,SocialFlow,.@AEO is upping the ante on its fight against the coronavirus.  https://t.co/i8cGkh9w7B
"""American Eagle Outfitters""",1235635495700516866,2020-04-15 18:01:10+00:00, ,1250484324346011648,en,0,0,0,0,Integromat,American Eagle Outfitters Donating $1 Million and 1 Million Masks to COVID-19 Relief Efforts - https://t.co/ketqTl61Dh - https://t.co/E1UxZIqVbh
"""American Eagle Outfitters""",1233332202,2020-04-15 17:28:28+00:00, ,1250476095809425409,en,0,0,0,0,Twitter Web App,".@AEO and @Aerie $AEO are donating a $1 million and 1 million masks 😷 to coronavirus relief efforts. Here's the full scoop, @wwd. https://t.co/XBAueA84lh"
